SKU,QUANTITY
KL20MBM08_BIANCO_WHITE_L,15
KL20MBM05_ROSSO_RED_S,24
KL20MBM05_ROSSO_RED_M,10
KL20MBM05_ROSSO_RED_L,12
KL20MBM11_BLU_NAVY_S,44
KL20MBM11_BLU_NAVY_M,81
KL20MBM11_BLU_NAVY_L,82
KL20MBM11_BLU_NAVY_XL,46
KL20MBM11_BLU_NAVY_2XL,45
UW0UW02037_GRIGIO_004_XS,51
UW0UW02037_GRIGIO_004_S,5
W1RI00I3Z11_GRIGIO_SHGY_XS,25
W1RI00I3Z11_GRIGIO_SHGY_XL,11
20017006053_BLU_410_S,1
20013007670_BLU_758_S,2
M1RI71I3Z11_BLU_G7DQ_2XL,11
692690-000_GRIGIO_0926_2XL,1
YM0YM00084_BLU_CHW_44,3
W1GAJ2D3ZT7_AZZURRO_POIP_24-L30,1
W1GAJ2D3ZT7_AZZURRO_POIP_25-L30,2
W1GAJ2D3ZT7_AZZURRO_POIP_26-L30,3
W1GAJ2D3ZT7_AZZURRO_POIP_27-L30,4
W1GAJ2D3ZT7_AZZURRO_POIP_29-L30,3
NS01UTR04_BIANCO_WHITE_S,34
NS01UTR04_BIANCO_WHITE_2XL,29
08470150_GRIGIO_031_46,1
1401021611_GIALLO_839_30,1
HONEY-UP_BIANCO_0439_XS,1
1601300551_ROSA_630_XS,1
1403450803_BLU_433_42,2
W62K14Z1AJ0_MULTICOLOR_PD08_XS,5
17011913556_ROSSO_644_30,1
17011212356_BEIGE_277_40,1
17011915556_GRIGIO_36_31,1
17011915556_GRIGIO_36_35,1
1801020016_BLU_409_S,4
AM0AM05285_BLU_CJM_UNI,13
18014320042_ROSSO_643_32,1
VB787802_MARRONE_COGNAC_UNI,3
J20J213299_AZZURRO_1AA_26-L32,1
19038040061_BLU_433_S,2
18031000148-1_BLU_405_31-L34,3
18031000148-1_BLU_405_32-L34,12
18031000148-1_BLU_405_33-L34,4
18031000148-1_BLU_405_34-L34,8
18031000148-1_BLU_405_35-L34,5
18031000148-1_BLU_405_36-L34,1
